Common_names,Clade1,Clade2,Family,Genus,Species,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,Taxon group,Prey size
Hupehsuchus,Hupehsuchia,Hupehsuchia,Hupehsuchidae,Hupehsuchus,nanchangensis,-0.01596695,0.5941007,-0.1193376,-0.1565847,-0.1027755,-0.3049996,0.009199143,-0.227481,0.108583,-0.2970517,0.1085852,-0.142674,0.01716133,0.5941002,-0.003386762,-0.02274804,-0.002061824,-0.03666193,Hupehsuchia,unknown
right whale,Cetacea,Mysticeti,Balaenidae,Balaena,mysticetus,-0.0090545,0.3982567,-0.2317816,-0.1961449,-0.1742722,-0.3332293,0.004359871,-0.1777469,0.1848988,-0.3295834,0.2271976,-0.1820335,0.004726961,0.3970868,-0.002855667,0.3269076,-0.003219312,0.09648686,Mysticeti,tiny
right whale,Cetacea,Mysticeti,Balaenidae,Eubalaena,glacialis,-0.01215358,0.4146834,-0.204113,-0.2311418,-0.1153624,-0.2832127,0.008564261,-0.2592158,0.1198396,-0.2901512,0.1972747,-0.2316695,-0.000887181,0.4160968,-0.000157288,0.3576494,0.006994845,0.1069615,Mysticeti,tiny
right whale,Cetacea,Mysticeti,Balaenidae,Eubalaena,japonica,-0.01021923,0.442447,-0.1646191,-0.2422401,-0.07874506,-0.2825436,0.00489647,-0.2722195,0.08707999,-0.2773051,0.155291,-0.2317703,0.004456743,0.4409886,-0.002105868,0.374213,0.00396502,0.04843017,Mysticeti,tiny
right whale,Cetacea,Mysticeti,Balaenidae,Eubalaena,australis,-0.01117379,0.4315112,-0.19115,-0.2583388,-0.1255706,-0.2791532,-0.001459469,-0.2313171,0.1293605,-0.2778034,0.2031142,-0.2479598,0.002856387,0.4324171,-0.002324256,0.3304669,-0.003652978,0.100177,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,musculus,-0.008575594,0.4797714,-0.1431909,-0.2530531,-0.0908145,-0.2695808,0.001594708,-0.2356524,0.1009298,-0.2668733,0.1453171,-0.2517092,0.002272595,0.4788155,-0.002918889,0.3377547,-0.004614393,-0.01947281,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,brydei,-0.01626126,0.4214704,-0.1974467,-0.2433199,-0.1042373,-0.2758629,0.001306079,-0.2582023,0.1081892,-0.2764284,0.2058937,-0.2379348,0.0059861,0.4214111,-0.000631397,0.3618628,-0.002798493,0.08700403,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,edeni,-0.01078993,0.4239263,-0.2036608,-0.2474139,-0.1350684,-0.281705,0.002966597,-0.2268246,0.1384357,-0.2782594,0.2078813,-0.2396732,0.002070828,0.4230697,-0.002211566,0.3467626,0.000376325,0.08011745,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,acutorostrata,-0.01436878,0.4579491,-0.171269,-0.2493937,-0.1091106,-0.2864846,0.001162398,-0.2180434,0.112008,-0.2863054,0.1783169,-0.2441942,0.004306518,0.4580273,-0.000446918,0.3444596,-0.000598492,0.02398529,Mysticeti,tiny
rorqual,Cetacea,Mysticeti,Balaenopteridae,Balaenoptera,ricei,-0.01048167,0.4578136,-0.193907,-0.2455936,-0.1237275,-0.2729659,-0.002536999,-0.2359387,0.1328352,-0.2756233,0.2038532,-0.2413636,0.002415509,0.4563548,-0.005713035,0.3323869,-0.002737747,0.02492961,Mysticeti,tiny
